STATION,NAME,DATE,DAPR,DAPR_ATTRIBUTES,MDPR,MDPR_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-07,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-08,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-11,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-12,,,,,0.25,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-13,,,,,0.92,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-14,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-15,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-16,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-17,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-18,,,,,0.07,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-19,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-20,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-21,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-22,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-23,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-24,,,,,0.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-25,,,,,0.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-26,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-27,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-02-28,,,,,0.22,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-01,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-05,4,",,N",1.17,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-07,,,,,0.25,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-09,,,,,0.22,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-23,,,,,0.99,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-26,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-27,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-28,,,,,0.47,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-29,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-30,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-03-31,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-01,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-02,,,,,0.19,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-03,,,,,0.2,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-04,,,,,0.67,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-05,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-11,,,,,0,"T,,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-12,,,,,0.57,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-13,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-14,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-15,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-04-16,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-01,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-02,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-03,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-05,2,",,N",1.13,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-06,,,,,0.06,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-07,,,,,0.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-08,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-11,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-12,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-13,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-14,,,,,0.13,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-15,,,,,0.72,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-16,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-17,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-18,,,,,1.61,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-19,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-25,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-26,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-27,,,,,0.63,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-28,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-29,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-30,,,,,0.67,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-05-31,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-01,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-02,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-03,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-04,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-05,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-06,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-07,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-08,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-11,,,,,0.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-15,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-16,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-17,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-18,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-19,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-20,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-21,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-22,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-23,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-26,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-27,,,,,0.65,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-28,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-29,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-06-30,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-01,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-02,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-03,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-04,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-05,,,,,1,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-06,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-07,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-08,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-11,,,,,0.06,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-12,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-13,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-14,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-15,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-16,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-17,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-18,,,,,0.24,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-19,,,,,0.1,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-20,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-21,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-22,,,,,1.83,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-23,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-24,,,,,1.18,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-25,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-30,,,,,0.16,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-07-31,,,,,0.11,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-01,,,,,0,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-02,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-03,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-04,,,,,0.06,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-05,,,,,0.05,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-06,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-07,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-08,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-09,,,,,3.55,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-18,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-20,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-21,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-22,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-23,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-24,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-25,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-26,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-27,,,,,0.66,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-28,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-29,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-30,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-08-31,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-01,,,,,0.9,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-02,,,,,0.13,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-03,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-04,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-05,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-06,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-07,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-08,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-11,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-12,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-13,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-14,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-15,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-16,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-17,,,,,0.1,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-18,,,,,2.71,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-19,,,,,0.27,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-20,,,,,0.03,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-25,5,",,N",1,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-26,,,,,3.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-27,,,,,0.09,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-28,,,,,0.83,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-29,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-09-30,,,,,1.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-10-01,,,,,2.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-10-02,,,,,0.28,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-10-03,,,,,0.11,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-10-04,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-07,34,",L,N",0,",L,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-08,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-09,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-10,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-11,,,,,0.09,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-12,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-13,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-14,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-15,,,,,0.89,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-20,,,,,0.02,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-28,8,",,N",0,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-11-29,,,,,0.23,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-09,10,",,N",0,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-10,,,,,0.12,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-11,,,,,0.3,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-15,4,",,N",0,",,N",,,,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-16,,,,,0.46,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-17,,,,,0.08,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-18,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-19,,,,,0.04,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2024-12-20,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-01-31,,,,,0.15,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-01,,,,,0.63,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-02,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-03,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-04,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-05,,,,,0,",,N",0,",,N",,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-06,,,,,0.83,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-07,,,,,0.53,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-02-16,,,,,0.84,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-03-17,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-04-01,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-04-07,,,,,0.8,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-04-08,,,,,0.5,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-04-11,,,,,0.14,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-04-26,,,,,0.17,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-05-13,,,,,0.36,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-05-14,,,,,2.82,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-05-15,,,,,0.33,",,N",,,,
US1VACRC002,"CHARLOTTESVILLE 0.5 NNE, VA US",2025-05-16,,,,,0.3,",,N",,,,
